source,target,similarity_ranking
395611,39362,19
395611,333519,19
395611,499879,19
395611,163885,19
930228,20031,26
930228,861764,21
930228,911419,21
930228,160411,21
930228,363822,19
930228,909273,19
930228,333208,19
930228,994664,19
930228,838716,18
930228,338469,18
930228,736652,18
930228,606164,17
930228,243399,16
930228,811322,16
930228,348307,16
930228,384002,16
930228,90528,16
930228,456039,15
930228,195509,15
930228,301721,15
930228,505694,15
930228,808997,15
930228,456650,14
930228,36369,14
930228,20303,14
930228,454790,14
930228,961772,13
930228,829616,13
930228,350356,13
930228,939877,13
930147,735815,25
930147,809608,19
930147,187759,18
930147,302776,18
930147,606164,15
930147,823531,15
930147,20031,14
930147,456039,14
930147,384002,13
930147,758884,13
930147,26254,13
930147,860820,13
930147,555997,13
930147,832998,12
930147,574084,12
930147,706776,12
930147,861257,12
930147,624810,12
930147,800948,12
930147,665092,11
930147,482695,11
930147,706214,11
930147,535725,11
930147,547933,11
930147,273822,11
930147,446990,11
930147,861238,10
930147,71271,10
930147,294618,10
930147,757276,10
886220,350356,14
886220,961772,13
886220,505694,12
886220,606164,12
886220,997377,11
886220,230055,10
886220,348307,10
886220,406400,10
886220,705633,10
886220,153165,9
886220,918922,9
886220,33471,9
886220,387581,9
886220,196950,9
886220,755556,9
886220,173028,9
886220,604000,8
886220,20031,8
886220,338814,8
886220,404983,8
886220,683261,8
886220,953985,8
886220,911419,8
886220,100913,7
886220,330110,7
886220,829879,7
886220,40152,7
886220,482272,7
886220,707349,7
886220,372336,7
607940,456039,20
607940,482695,18
607940,153165,17
607940,735815,17
607940,386703,15
607940,800948,15
607940,682104,14
607940,736652,14
607940,886018,14
607940,706776,14
607940,537354,14
607940,232215,13
607940,331801,13
607940,71271,12
607940,607351,12
607940,20031,12
607940,138129,12
607940,85254,11
607940,657760,11
607940,405952,11
607940,680843,11
607940,342967,11
607940,39362,11
607940,258717,11
607940,158340,10
607940,211534,10
607940,681076,10
607940,53983,10
607940,404983,10
607940,83264,10
53414,456039,26
53414,138129,24
53414,822198,22
53414,33471,22
53414,683050,22
53414,994664,21
53414,911419,21
53414,363822,20
53414,791422,19
53414,607351,19
53414,85562,18
53414,637293,18
53414,547933,17
53414,118804,16
53414,505694,16
53414,87299,16
53414,414856,16
53414,406400,16
53414,20031,16
53414,231864,16
53414,447769,15
53414,108514,15
53414,939877,15
53414,909273,15
53414,735502,15
53414,302776,15
53414,26500,14
53414,776758,14
53414,149930,14
53414,475434,14
426203,505694,33
426203,406400,28
426203,160411,27
426203,606164,27
426203,20031,27
426203,68677,26
426203,920717,25
426203,605224,25
426203,302776,23
426203,776758,23
426203,350356,22
426203,301721,22
426203,348307,22
426203,607351,22
426203,911419,22
426203,547933,21
426203,555997,21
426203,871439,21
426203,994664,21
426203,384002,21
426203,100913,21
426203,153722,21
426203,997377,21
426203,363822,21
426203,447769,20
426203,33471,20
426203,338814,20
426203,95089,19
426203,330110,19
426203,714008,19
407353,680986,31
407353,952442,19
407353,860982,16
407353,567380,13
407353,23044,12
407353,64599,12
407353,963787,11
407353,108239,11
407353,895851,10
407353,860721,10
407353,483705,9
407353,688631,9
407353,101515,9
407353,258919,8
407353,414221,8
407353,674544,8
407353,406999,8
407353,480009,7
407353,268255,7
407353,994664,7
407353,961024,7
407353,233186,7
407353,464228,7
407353,284683,7
407353,515033,7
407353,607636,6
407353,535357,6
407353,546344,6
407353,634190,6
407353,565511,6
860784,406400,31
860784,153722,28
860784,33471,28
860784,26500,27
860784,109782,25
860784,435540,25
860784,20031,25
860784,482484,24
860784,338814,24
860784,547933,23
860784,776758,22
860784,735502,22
860784,68677,20
860784,505694,20
860784,994664,20
860784,681076,19
860784,798236,19
860784,911419,19
860784,488287,18
860784,767782,18
860784,920717,18
860784,196950,18
860784,535181,18
860784,655448,18
860784,606164,17
860784,211534,17
860784,231455,17
860784,284436,17
860784,415224,17
860784,707349,17
546755,735815,23
546755,606164,20
546755,350356,18
546755,505694,15
546755,505634,14
